try, timeval(s)
 1, 0.64436900895088911
 2, 0.54827165603637695
 3, 0.56160960497800261
 4, 0.63428416592068970
 5, 0.57139288296457380
 6, 0.56406252493616194
 7, 0.51966462202835828
 8, 0.52719344291836023
 9, 0.51988651696592569
10, 0.54947725497186184
11, 0.56478463800158352
12, 0.55743863200768828
