try, timeval(s)
 1, 0.48722053098026663
 2, 0.46332762297242880
 3, 0.44749028596561402
 4, 0.47751952800899744
 5, 0.46122879895847291
 6, 0.49732851597946137
 7, 0.45887797698378563
 8, 0.48865577694959939
 9, 0.53263442602474242
10, 0.46756628295406699
11, 0.45887870900332928
12, 0.46235835598781705
