try, timeval(s)
1, 1.1364586009876803
2, 1.0408461269689724
3, 1.0816111949970946
4, 1.0377049678936601
5, 1.0247700050240383
6, 1.0330586440395564
7, 1.0276216070633382
8, 1.0898355360841379
9, 1.0359067259123549
10, 1.0405896248994395
11, 1.1322150439955294
12, 1.0534076630137861
